,ID,experiment_ID,location,sample_ID,sample_type,sample_lot,hide_ID,culture_date,biopsy_replicate,biopsy_diameter_mm,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,sheet_name
48,13,HP2,B10,SZ-0602-1-1,sample,602,1,0602-1,1,1646.415,1634.67,11.745,SZ,,HPL,PLA,07-26-2023,Digestion1
49,14,HP2,C10,SZ-0602-1-2,sample,602,1,0602-1,2,1675.795,1664.3,11.495,SZ,,HPL,PLA,07-26-2023,Digestion1
50,15,HP2,D10,SZ-0602-1-3,sample,602,1,0602-1,3,1658.43,1646.84,11.59,SZ,,HPL,PLA,07-26-2023,Digestion1
51,16,HP2,E10,SZ-0602-2-1,sample,602,2,0602-2,1,1648.685,1638.37,10.315,SZ,,HPL,PLA,07-26-2023,Digestion1
52,17,HP2,F10,SZ-0602-2-2,sample,602,2,0602-2,2,1667.53,1656.865,10.665,SZ,,HPL,PLA,07-26-2023,Digestion1
53,18,HP2,G10,SZ-0602-2-3,sample,602,2,0602-2,3,1665.9,1655.535,10.365,SZ,,HPL,PLA,07-26-2023,Digestion1
54,13,HP2,B11,SZ-0602-1-1,sample,602,1,0602-1,1,1646.415,1634.67,11.745,SZ,,HPL,PLA,07-26-2023,Digestion1
55,14,HP2,C11,SZ-0602-1-2,sample,602,1,0602-1,2,1675.795,1664.3,11.495,SZ,,HPL,PLA,07-26-2023,Digestion1
56,15,HP2,D11,SZ-0602-1-3,sample,602,1,0602-1,3,1658.43,1646.84,11.59,SZ,,HPL,PLA,07-26-2023,Digestion1
57,16,HP2,E11,SZ-0602-2-1,sample,602,2,0602-2,1,1648.685,1638.37,10.315,SZ,,HPL,PLA,07-26-2023,Digestion1
58,17,HP2,F11,SZ-0602-2-2,sample,602,2,0602-2,2,1667.53,1656.865,10.665,SZ,,HPL,PLA,07-26-2023,Digestion1
59,18,HP2,G11,SZ-0602-2-3,sample,602,2,0602-2,3,1665.9,1655.535,10.365,SZ,,HPL,PLA,07-26-2023,Digestion1
