,ID,experiment_ID,sample_ID,sample_type,pilot_batch,tissue,hide_ID,hide_replicate,avg loaded weight mg,avg empty weight mg,net weight mg,operator,ug/well,media_type,scaffold_type,date,homogenate volume ul,homogenate sample volume ul,digest volume ul,digest sample volume ul,abs,sheet_name,location,normalized_abs,mg/biopsy,x
17,2,HP1,SZ-0526-1-2,sample,526,1,0526-1,2,1643.075,1629.985,13.09,SZ,0.27954573321430165,HPL,V2P1,07-26-2023,500,100,1000,20,0.382,Plate1,B3,0.316,0.06988643330357541,13.09
18,3,HP1,SZ-0526-1-3,sample,526,1,0526-1,3,1669.05,1656.595,12.455,SZ,0.3222983935448352,HPL,V2P1,07-26-2023,500,100,1000,20,0.423,Plate1,C3,0.357,0.08057459838620878,12.455
19,4,HP1,SZ-0526-2-1,sample,526,2,0526-2,1,1635.98,1623.355,12.625,SZ,0.31604190666719617,HPL,V2P1,07-26-2023,500,100,1000,20,0.417,Plate1,D3,0.351,0.07901047666679904,12.625
20,5,HP1,SZ-0526-2-2,sample,526,2,0526-2,2,1670.185,1656.98,13.205,SZ,0.2920587069695798,HPL,V2P1,07-26-2023,500,100,1000,20,0.394,Plate1,E3,0.328,0.07301467674239495,13.205
21,6,HP1,SZ-0526-2-3,sample,526,2,0526-2,3,1642.74,1629.39,13.35,SZ,0.25973352476844463,HPL,V2P1,07-26-2023,500,100,1000,20,0.363,Plate1,F3,0.297,0.06493338119211116,13.35
24,1,HP1,SZ-0526-1-1,sample,526,1,0526-1,1,1638.775,1626.345,12.43,SZ,0.3327258716742337,HPL,V2P1,07-27-2023,500,100,1000,20,0.433,Plate1,A4,0.367,0.08318146791855842,12.43
25,2,HP1,SZ-0526-1-2,sample,526,1,0526-1,2,1643.075,1629.985,13.09,SZ,0.29310145478251964,HPL,V2P1,07-26-2023,500,100,1000,20,0.395,Plate1,B4,0.329,0.07327536369562991,13.09
26,3,HP1,SZ-0526-1-3,sample,526,1,0526-1,3,1669.05,1656.595,12.455,SZ,0.31082816760249693,HPL,V2P1,07-26-2023,500,100,1000,20,0.412,Plate1,C4,0.346,0.07770704190062423,12.455
27,4,HP1,SZ-0526-2-1,sample,526,2,0526-2,1,1635.98,1623.355,12.625,SZ,0.2691182550849032,HPL,V2P1,07-26-2023,500,100,1000,20,0.372,Plate1,D4,0.306,0.0672795637712258,12.625
28,5,HP1,SZ-0526-2-2,sample,526,2,0526-2,2,1670.185,1656.98,13.205,SZ,0.25556253351668523,HPL,V2P1,07-26-2023,500,100,1000,20,0.359,Plate1,E4,0.293,0.06389063337917131,13.205
29,6,HP1,SZ-0526-2-3,sample,526,2,0526-2,3,1642.74,1629.39,13.35,SZ,0.2420068119484673,HPL,V2P1,07-26-2023,500,100,1000,20,0.346,Plate1,F4,0.27999999999999997,0.06050170298711682,13.35
32,7,HP1,SZ-0526-3-1,sample,526,3,0526-3,1,1678.96,1664.95,14.01,SZ,0.6257380071103295,FBS,V2P1,07-26-2023,500,100,1000,20,0.714,Plate1,A5,0.6479999999999999,0.15643450177758236,14.01
33,8,HP1,SZ-0526-3-2,sample,526,3,0526-3,2,1636.87,1625.015,11.855,SZ,0.7018585974549382,FBS,V2P1,07-26-2023,500,100,1000,20,0.787,Plate1,B5,0.7210000000000001,0.17546464936373454,11.855
34,9,HP1,SZ-0526-3-3,sample,526,3,0526-3,3,1652.83,1639.685,13.145,SZ,0.6007120595997733,FBS,V2P1,07-26-2023,500,100,1000,20,0.69,Plate1,C5,0.6239999999999999,0.1501780148999433,13.145
35,10,HP1,SZ-0526-4-1,sample,526,4,0526-4,1,1673.72,1660.315,13.405,SZ,0.5537884080174803,FBS,V2P1,07-26-2023,500,100,1000,20,0.645,Plate1,D5,0.579,0.13844710200437008,13.405
36,11,HP1,SZ-0526-4-2,sample,526,4,0526-4,2,1675.07,1660.795,14.275,SZ,0.582985346779796,FBS,V2P1,07-26-2023,500,100,1000,20,0.673,Plate1,E5,0.607,0.14574633669494902,14.275
37,12,HP1,SZ-0526-4-3,sample,526,4,0526-4,3,1633.5,1620.205,13.295,SZ,0.5798571033409765,FBS,V2P1,07-26-2023,500,100,1000,20,0.67,Plate1,F5,0.6040000000000001,0.14496427583524413,13.295
40,7,HP1,SZ-0526-3-1,sample,526,3,0526-3,1,1678.96,1664.95,14.01,SZ,0.5339761995716235,FBS,V2P1,07-26-2023,500,100,1000,20,0.626,Plate1,A6,0.56,0.13349404989290586,14.01
41,8,HP1,SZ-0526-3-2,sample,526,3,0526-3,2,1636.87,1625.015,11.855,SZ,0.6465929633691263,FBS,V2P1,07-26-2023,500,100,1000,20,0.734,Plate1,B6,0.6679999999999999,0.16164824084228158,11.855
42,9,HP1,SZ-0526-3-3,sample,526,3,0526-3,3,1652.83,1639.685,13.145,SZ,0.5683868773986381,FBS,V2P1,07-26-2023,500,100,1000,20,0.659,Plate1,C6,0.593,0.14209671934965953,13.145
43,10,HP1,SZ-0526-4-1,sample,526,4,0526-4,1,1673.72,1660.315,13.405,SZ,0.5131212433128265,FBS,V2P1,07-26-2023,500,100,1000,20,0.606,Plate1,D6,0.54,0.12828031082820662,13.405
44,11,HP1,SZ-0526-4-2,sample,526,4,0526-4,2,1675.07,1660.795,14.275,SZ,0.6153105289809311,FBS,V2P1,07-26-2023,500,100,1000,20,0.704,Plate1,E6,0.6379999999999999,0.15382763224523277,14.275
45,12,HP1,SZ-0526-4-3,sample,526,4,0526-4,3,1633.5,1620.205,13.295,SZ,0.5423181820751422,FBS,V2P1,07-26-2023,500,100,1000,20,0.634,Plate1,F6,0.5680000000000001,0.13557954551878554,13.295
48,7,HP1,SZ-0526-3-1,sample,526,3,0526-3,1,1678.96,1664.95,14.01,SZ,0.5954983205350741,FBS,V2P1,07-26-2023,500,100,1000,20,0.685,Plate1,A7,0.619,0.14887458013376853,14.01
49,8,HP1,SZ-0526-3-2,sample,526,3,0526-3,2,1636.87,1625.015,11.855,SZ,0.6789181455702616,FBS,V2P1,07-26-2023,500,100,1000,20,0.765,Plate1,B7,0.6990000000000001,0.1697295363925654,11.855
50,9,HP1,SZ-0526-3-3,sample,526,3,0526-3,3,1652.83,1639.685,13.145,SZ,0.6653624240020436,FBS,V2P1,07-26-2023,500,100,1000,20,0.752,Plate1,C7,0.6859999999999999,0.1663406060005109,13.145
51,10,HP1,SZ-0526-4-1,sample,526,4,0526-4,1,1673.72,1660.315,13.405,SZ,0.6236525114844498,FBS,V2P1,07-26-2023,500,100,1000,20,0.712,Plate1,D7,0.6459999999999999,0.15591312787111244,13.405
52,11,HP1,SZ-0526-4-2,sample,526,4,0526-4,2,1675.07,1660.795,14.275,SZ,0.6111395377291716,FBS,V2P1,07-26-2023,500,100,1000,20,0.7,Plate1,E7,0.6339999999999999,0.1527848844322929,14.275
53,12,HP1,SZ-0526-4-3,sample,526,4,0526-4,3,1633.5,1620.205,13.295,SZ,0.5871563380315553,FBS,V2P1,07-26-2023,500,100,1000,20,0.677,Plate1,F7,0.611,0.14678908450788883,13.295
56,7,HP1,SZ-0526-3-1,sample,526,3,0526-3,1,1678.96,1664.95,14.01,SZ,0.6038403030385928,FBS,V2P1,07-26-2023,500,100,1000,20,0.693,Plate1,A8,0.627,0.1509600757596482,14.01
57,8,HP1,SZ-0526-3-2,sample,526,3,0526-3,2,1636.87,1625.015,11.855,SZ,0.6903883715125998,FBS,V2P1,07-26-2023,500,100,1000,20,0.776,Plate1,B8,0.71,0.17259709287814995,11.855
58,9,HP1,SZ-0526-3-3,sample,526,3,0526-3,3,1652.83,1639.685,13.145,SZ,0.6027975552256529,FBS,V2P1,07-26-2023,500,100,1000,20,0.692,Plate1,C8,0.6259999999999999,0.15069938880641326,13.145
59,10,HP1,SZ-0526-4-1,sample,526,4,0526-4,1,1673.72,1660.315,13.405,SZ,0.563173138333939,FBS,V2P1,07-26-2023,500,100,1000,20,0.654,Plate1,D8,0.5880000000000001,0.14079328458348475,13.405
60,11,HP1,SZ-0526-4-2,sample,526,4,0526-4,2,1675.07,1660.795,14.275,SZ,0.582985346779796,FBS,V2P1,07-26-2023,500,100,1000,20,0.673,Plate1,E8,0.607,0.14574633669494902,14.275
61,12,HP1,SZ-0526-4-3,sample,526,4,0526-4,3,1633.5,1620.205,13.295,SZ,0.5767288599021569,FBS,V2P1,07-26-2023,500,100,1000,20,0.667,Plate1,F8,0.601,0.14418221497553924,13.295
64,13,HP1,SZ-0602-1-1,sample,602,1,0602-1,1,1643.005,1631.3,11.705,SZ,0.19925415161793372,HPL,PLA,07-26-2023,500,100,1000,20,0.305,Plate1,A9,0.239,0.04981353790448343,11.705
65,14,HP1,SZ-0602-1-2,sample,602,1,0602-1,2,1655.505,1650.595,4.91,SZ,0.2513915422649259,HPL,PLA,07-26-2023,500,100,1000,20,0.355,Plate1,B9,0.289,0.06284788556623147,4.91
66,15,HP1,SZ-0602-1-3,sample,602,1,0602-1,3,1663.345,1645.765,17.58,SZ,0.2545197857037454,HPL,PLA,07-26-2023,500,100,1000,20,0.358,Plate1,C9,0.292,0.06362994642593635,17.58
67,16,HP1,SZ-0602-2-1,sample,602,2,0602-2,1,1653.31,1642.39,10.92,SZ,0.22323735131555011,HPL,PLA,07-26-2023,500,100,1000,20,0.328,Plate1,D9,0.262,0.05580933782888752,10.92
68,17,HP1,SZ-0602-2-2,sample,602,2,0602-2,2,1646.065,1634.63,11.435,SZ,0.2294938381931892,HPL,PLA,07-26-2023,500,100,1000,20,0.334,Plate1,E9,0.268,0.05737345954829729,11.435
69,18,HP1,SZ-0602-2-3,sample,602,2,0602-2,3,1641.16,1629.315,11.845,SZ,0.24096406413552746,HPL,PLA,07-26-2023,500,100,1000,20,0.345,Plate1,F9,0.27899999999999997,0.060241016033881864,11.845
72,13,HP1,SZ-0602-1-1,sample,602,1,0602-1,1,1643.005,1631.3,11.705,SZ,0.22740834256730952,HPL,PLA,07-26-2023,500,100,1000,20,0.332,Plate1,A10,0.266,0.056852085641827386,11.705
73,14,HP1,SZ-0602-1-2,sample,602,1,0602-1,2,1655.505,1650.595,4.91,SZ,0.2649472638331438,HPL,PLA,07-26-2023,500,100,1000,20,0.368,Plate1,B10,0.302,0.06623681595828596,4.91
74,15,HP1,SZ-0602-1-3,sample,602,1,0602-1,3,1663.345,1645.765,17.58,SZ,0.27433199414960246,HPL,PLA,07-26-2023,500,100,1000,20,0.377,Plate1,C10,0.311,0.06858299853740063,17.58
75,16,HP1,SZ-0602-2-1,sample,602,2,0602-2,1,1653.31,1642.39,10.92,SZ,0.25034879445198605,HPL,PLA,07-26-2023,500,100,1000,20,0.354,Plate1,D10,0.288,0.06258719861299651,10.92
76,17,HP1,SZ-0602-2-2,sample,602,2,0602-2,2,1646.065,1634.63,11.435,SZ,0.2680755072719634,HPL,PLA,07-26-2023,500,100,1000,20,0.371,Plate1,E10,0.305,0.06701887681799085,11.435
77,18,HP1,SZ-0602-2-3,sample,602,2,0602-2,3,1641.16,1629.315,11.845,SZ,0.2586907769555048,HPL,PLA,07-26-2023,500,100,1000,20,0.362,Plate1,F10,0.296,0.06467269423887621,11.845
80,13,HP1,SZ-0602-1-1,sample,602,1,0602-1,1,1643.005,1631.3,11.705,SZ,0.22740834256730952,HPL,PLA,07-26-2023,500,100,1000,20,0.332,Plate1,A11,0.266,0.056852085641827386,11.705
81,14,HP1,SZ-0602-1-2,sample,602,1,0602-1,2,1655.505,1650.595,4.91,SZ,0.25556253351668523,HPL,PLA,07-26-2023,500,100,1000,20,0.359,Plate1,B11,0.293,0.06389063337917131,4.91
82,15,HP1,SZ-0602-1-3,sample,602,1,0602-1,3,1663.345,1645.765,17.58,SZ,0.27954573321430165,HPL,PLA,07-26-2023,500,100,1000,20,0.382,Plate1,C11,0.316,0.06988643330357541,17.58
83,16,HP1,SZ-0602-2-1,sample,602,2,0602-2,1,1653.31,1642.39,10.92,SZ,0.2732892463366626,HPL,PLA,07-26-2023,500,100,1000,20,0.376,Plate1,D11,0.31,0.06832231158416564,10.92
84,17,HP1,SZ-0602-2-2,sample,602,2,0602-2,2,1646.065,1634.63,11.435,SZ,0.2691182550849032,HPL,PLA,07-26-2023,500,100,1000,20,0.372,Plate1,E11,0.306,0.0672795637712258,11.435
85,18,HP1,SZ-0602-2-3,sample,602,2,0602-2,3,1641.16,1629.315,11.845,SZ,0.2618190203943243,HPL,PLA,07-26-2023,500,100,1000,20,0.365,Plate1,F11,0.299,0.06545475509858106,11.845
88,13,HP1,SZ-0602-1-1,sample,602,1,0602-1,1,1643.005,1631.3,11.705,SZ,0.22532284694142984,HPL,PLA,07-26-2023,500,100,1000,20,0.33,Plate1,A12,0.264,0.05633071173535746,11.705
89,14,HP1,SZ-0602-1-2,sample,602,1,0602-1,2,1655.505,1650.595,4.91,SZ,0.2513915422649259,HPL,PLA,07-26-2023,500,100,1000,20,0.355,Plate1,B12,0.289,0.06284788556623147,4.91
90,15,HP1,SZ-0602-1-3,sample,602,1,0602-1,3,1663.345,1645.765,17.58,SZ,0.26703275945902355,HPL,PLA,07-26-2023,500,100,1000,20,0.37,Plate1,C12,0.304,0.06675818986475589,17.58
91,16,HP1,SZ-0602-2-1,sample,602,2,0602-2,1,1653.31,1642.39,10.92,SZ,0.2649472638331438,HPL,PLA,07-26-2023,500,100,1000,20,0.368,Plate1,D12,0.302,0.06623681595828596,10.92
92,17,HP1,SZ-0602-2-2,sample,602,2,0602-2,2,1646.065,1634.63,11.435,SZ,0.2920587069695798,HPL,PLA,07-26-2023,500,100,1000,20,0.394,Plate1,E12,0.328,0.07301467674239495,11.435
93,18,HP1,SZ-0602-2-3,sample,602,2,0602-2,3,1641.16,1629.315,11.845,SZ,0.2420068119484673,HPL,PLA,07-26-2023,500,100,1000,20,0.346,Plate1,F12,0.27999999999999997,0.06050170298711682,11.845
96,19,HP1,SZ-0602-3-1,sample,602,3,0602-3,1,1640.605,1629.3,11.305,SZ,0.5663013817727585,FBS,PLA,07-26-2023,500,100,1000,20,0.657,Plate2,A1,0.591,0.14157534544318962,11.305
97,20,HP1,SZ-0602-3-2,sample,602,3,0602-3,2,1628.315,1617.095,11.22,SZ,0.5204204780034053,FBS,PLA,07-26-2023,500,100,1000,20,0.613,Plate2,B1,0.5469999999999999,0.13010511950085132,11.22
98,21,HP1,SZ-0602-3-3,sample,602,3,0602-3,3,1647.18,1636.445,10.735,SZ,0.5360616951975031,FBS,PLA,07-26-2023,500,100,1000,20,0.628,Plate2,C1,0.562,0.13401542379937575,10.735
99,22,HP1,SZ-0602-4-1,sample,602,4,0602-4,1,1647.01,1634.96,12.05,SZ,0.43804340078115783,FBS,PLA,07-26-2023,500,100,1000,20,0.534,Plate2,D1,0.468,0.10951085019528946,12.05
100,23,HP1,SZ-0602-4-2,sample,602,4,0602-4,2,1657.8,1646.99,10.81,SZ,0.4515991223493758,FBS,PLA,07-26-2023,500,100,1000,20,0.547,Plate2,E1,0.48100000000000004,0.11289978058734394,10.81
101,24,HP1,SZ-0602-4-3,sample,602,4,0602-4,3,1651.345,1639.465,11.88,SZ,0.38173501888240624,FBS,PLA,07-26-2023,500,100,1000,20,0.48,Plate2,F1,0.414,0.09543375472060156,11.88
104,19,HP1,SZ-0602-3-1,sample,602,3,0602-3,1,1640.605,1629.3,11.305,SZ,0.5225059736292851,FBS,PLA,07-26-2023,500,100,1000,20,0.615,Plate2,A2,0.5489999999999999,0.13062649340732127,11.305
105,20,HP1,SZ-0602-3-2,sample,602,3,0602-3,2,1628.315,1617.095,11.22,SZ,0.5131212433128265,FBS,PLA,07-26-2023,500,100,1000,20,0.606,Plate2,B2,0.54,0.12828031082820662,11.22
106,21,HP1,SZ-0602-3-3,sample,602,3,0602-3,3,1647.18,1636.445,10.735,SZ,0.5089502520610671,FBS,PLA,07-26-2023,500,100,1000,20,0.602,Plate2,C2,0.536,0.12723756301526679,10.735
107,22,HP1,SZ-0602-4-1,sample,602,4,0602-4,1,1647.01,1634.96,12.05,SZ,0.46619759173053366,FBS,PLA,07-26-2023,500,100,1000,20,0.561,Plate2,D2,0.49500000000000005,0.11654939793263341,12.05
108,23,HP1,SZ-0602-4-2,sample,602,4,0602-4,2,1657.8,1646.99,10.81,SZ,0.4933090348669694,FBS,PLA,07-26-2023,500,100,1000,20,0.587,Plate2,E2,0.5209999999999999,0.12332725871674236,10.81
109,24,HP1,SZ-0602-4-3,sample,602,4,0602-4,3,1651.345,1639.465,11.88,SZ,0.4276159226517594,FBS,PLA,07-26-2023,500,100,1000,20,0.524,Plate2,F2,0.458,0.10690398066293987,11.88
112,19,HP1,SZ-0602-3-1,sample,602,3,0602-3,1,1640.605,1629.3,11.305,SZ,0.5725578686503976,FBS,PLA,07-26-2023,500,100,1000,20,0.663,Plate2,A3,0.597,0.1431394671625994,11.305
113,20,HP1,SZ-0602-3-2,sample,602,3,0602-3,2,1628.315,1617.095,11.22,SZ,0.5861135902186156,FBS,PLA,07-26-2023,500,100,1000,20,0.676,Plate2,B3,0.6100000000000001,0.14652839755465388,11.22
114,21,HP1,SZ-0602-3-3,sample,602,3,0602-3,3,1647.18,1636.445,10.735,SZ,0.5683868773986381,FBS,PLA,07-26-2023,500,100,1000,20,0.659,Plate2,C3,0.593,0.14209671934965953,10.735
115,22,HP1,SZ-0602-4-1,sample,602,4,0602-4,1,1647.01,1634.96,12.05,SZ,0.496437278305789,FBS,PLA,07-26-2023,500,100,1000,20,0.59,Plate2,D3,0.524,0.12410931957644723,12.05
116,23,HP1,SZ-0602-4-2,sample,602,4,0602-4,2,1657.8,1646.99,10.81,SZ,0.4495136267234961,FBS,PLA,07-26-2023,500,100,1000,20,0.545,Plate2,E3,0.47900000000000004,0.11237840668087402,10.81
117,24,HP1,SZ-0602-4-3,sample,602,4,0602-4,3,1651.345,1639.465,11.88,SZ,0.39320524482474456,FBS,PLA,07-26-2023,500,100,1000,20,0.491,Plate2,F3,0.425,0.09830131120618614,11.88
120,19,HP1,SZ-0602-3-1,sample,602,3,0602-3,1,1640.605,1629.3,11.305,SZ,0.7310555362172536,FBS,PLA,07-26-2023,500,100,1000,20,0.815,Plate2,A4,0.7489999999999999,0.1827638840543134,11.305
121,20,HP1,SZ-0602-3-2,sample,602,3,0602-3,2,1628.315,1617.095,11.22,SZ,0.8050906309359827,FBS,PLA,07-26-2023,500,100,1000,20,0.886,Plate2,B4,0.8200000000000001,0.20127265773399566,11.22
122,21,HP1,SZ-0602-3-3,sample,602,3,0602-3,3,1647.18,1636.445,10.735,SZ,0.803005135310103,FBS,PLA,07-26-2023,500,100,1000,20,0.884,Plate2,C4,0.8180000000000001,0.20075128382752572,10.735
123,22,HP1,SZ-0602-4-1,sample,602,4,0602-4,1,1647.01,1634.96,12.05,SZ,0.6841318846349608,FBS,PLA,07-26-2023,500,100,1000,20,0.77,Plate2,D4,0.704,0.17103297115874022,12.05
124,23,HP1,SZ-0602-4-2,sample,602,4,0602-4,2,1657.8,1646.99,10.81,SZ,0.7185425624619757,FBS,PLA,07-26-2023,500,100,1000,20,0.803,Plate2,E4,0.7370000000000001,0.17963564061549395,10.81
125,24,HP1,SZ-0602-4-3,sample,602,4,0602-4,3,1651.345,1639.465,11.88,SZ,0.5308479561328038,FBS,PLA,07-26-2023,500,100,1000,20,0.623,Plate2,F4,0.5569999999999999,0.13271198903320094,11.88
